year,team,conference,division,expectedWins,total.games,total.wins,total.losses,total.ties,conferenceGames.games,conferenceGames.wins,conferenceGames.losses,conferenceGames.ties,homeGames.games,homeGames.wins,homeGames.losses,homeGames.ties,awayGames.games,awayGames.wins,awayGames.losses,awayGames.ties
2022,Utah,Pac-12,,9.6,14,10,3,0,10,8,2,0,6,6,0,0,6,3,3,0
2022,Utah State,Mountain West,Mountain,5.5,13,6,7,0,8,5,3,0,6,4,2,0,6,2,4,0
2022,UTEP,Conference USA,,4.5,12,5,7,0,8,3,5,0,6,4,2,0,6,1,5,0
2022,UT San Antonio,Conference USA,,9.8,14,11,3,0,9,9,0,0,7,6,1,0,6,5,1,0
2022,Vanderbilt,SEC,East,4.8,12,5,7,0,8,2,6,0,6,2,4,0,6,3,3,0
2022,Virginia,ACC,Coastal,4.1,10,3,7,0,7,1,6,0,6,2,4,0,4,1,3,0
2022,Virginia Tech,ACC,Coastal,5,11,3,8,0,7,1,6,0,5,2,3,0,6,1,5,0
2022,Wake Forest,ACC,Atlantic,8.4,13,7,5,0,8,3,5,0,7,5,2,0,5,2,3,0
2022,Washington,Pac-12,,8.2,13,11,2,0,9,7,2,0,7,7,0,0,5,3,2,0
2022,Washington State,Pac-12,,5.4,13,7,5,0,9,4,5,0,7,4,3,0,5,3,2,0
2022,Western Kentucky,Conference USA,,8.6,14,9,5,0,8,6,2,0,6,4,2,0,7,4,3,0
2022,Western Michigan,Mid-American,West,4.3,12,5,7,0,8,4,4,0,6,2,4,0,6,3,3,0
2022,West Virginia,Big 12,,5.3,12,5,7,0,9,3,6,0,6,3,3,0,6,2,4,0
2022,Wisconsin,Big Ten,West,7.9,13,7,6,0,9,4,5,0,7,4,3,0,5,2,3,0
2022,Wyoming,Mountain West,Mountain,6,13,7,6,0,8,5,3,0,6,4,2,0,6,3,3,0
